parcel_id,yield_year,NDRE_raw_repro,NDRE_corr_repro,CIre_raw_repro,CIre_corr_repro,NDVI_repro,n_scenes
B-7,2017,0.24359,0.31647170099396704,0.526775,0.7716707923045711,0.311269,1
B-7,2018,0.2896905,0.31494866817613076,0.6771229999999999,0.7619950463888141,0.380057,2
B-7,2019,0.266174,0.32046405201027545,0.5967475,0.7791719648517925,0.338123,2
B-7,2020,0.2555562,0.31232144615068264,0.5522132,0.742954768073256,0.3345478,5
B-7,2022,0.2689045,0.3040023125933765,0.6045754999999999,0.7225105441330095,0.3658445,2
B-7,2023,0.275804,0.3001808406585826,0.630257875,0.7121685003771442,0.38133,8
B-7,2024,0.2728585,0.30709056234931204,0.6113065,0.7263324655979793,0.367095,2
B-8,2017,0.231921,0.31498331461969076,0.475396,0.7545005087041062,0.296564,1
B-8,2018,0.2697675,0.31389770808253015,0.5982845,0.7465700384211108,0.352798,2
B-8,2019,0.25943499999999997,0.31977076493014167,0.565134,0.7678731616188064,0.32939050000000003,2
B-8,2020,0.26331059999999995,0.31069708133157664,0.5800902,0.7393174097379128,0.34809460000000003,5
B-8,2022,0.2666285,0.30680969617357884,0.6126879999999999,0.7477041390098258,0.358502,2
B-8,2023,0.28949199999999997,0.3063445848638822,0.683238625,0.7398663802023944,0.392198125,8
B-8,2024,0.2955425,0.31237786332264184,0.6871240000000001,0.7436938876865538,0.392223,2
C-10,2017,0.22681,0.3121209805874806,0.470793,0.7574534359986107,0.293316,1
C-10,2018,0.264533,0.31077894798325856,0.5874535,0.742848309914955,0.349742,2
C-10,2019,0.2548285,0.3180713303238454,0.554621,0.767128430925957,0.32519149999999997,2
C-10,2020,0.25127259999999996,0.3079159972558763,0.5365260000000001,0.7268581335893172,0.3347238,5
C-10,2022,0.2474815,0.30083518479308463,0.555118,0.7343961004226617,0.3394755,2
C-10,2023,0.27798449999999997,0.3018954071006015,0.654725125,0.7350701287425379,0.382003,8
C-10,2024,0.2853295,0.3061363757377363,0.6635445,0.7334593928974296,0.3864865,2
C-11,2017,0.271212,0.3200548525538189,0.617726,0.781846882353898,0.345991,1
C-11,2018,0.28795000000000004,0.3134553275820732,0.6757535,0.761456047018167,0.37970000000000004,2
C-11,2019,0.289446,0.3208956151434784,0.6741055,0.7797819361039479,0.37111400000000005,2
C-11,2020,0.25885980000000003,0.3082738192482236,0.5616176,0.7276577064973605,0.345166,5
C-11,2022,0.280721,0.30434736223829806,0.649052,0.7284408811692493,0.38241400000000003,2
C-11,2023,0.28861675,0.2977633442118713,0.675110125,0.7058443478001792,0.40332875,8
C-11,2024,0.2858845,0.30619636460258554,0.661184,0.7294355653064288,0.3872015,2
C-9,2017,0.253614,0.3175128066183285,0.55653,0.7712416307755698,0.324244,1
C-9,2018,0.2854565,0.3170193099974604,0.659808,0.7658647914341978,0.37095049999999996,2
C-9,2019,0.277028,0.32289247786372277,0.6302095,0.7843225008203516,0.35029299999999997,2
C-9,2020,0.2475794,0.3098250771239046,0.5185698000000001,0.7277266145213156,0.3266318,5
C-9,2022,0.26660249999999996,0.3037745130981482,0.592305,0.7172097356891473,0.3628485,2
C-9,2023,0.270925125,0.29898451965055317,0.610441375,0.7047260526463504,0.37601087499999997,8
C-9,2024,0.280136,0.3095287227203553,0.6352805,0.7340454028551878,0.374085,2
