parcel_id,group,variety,yield_year,yield_tn_ha,yield_lag1,alternance,CP_lag1,CH12_lag1,CU_lag1,Tmean_chill_lag1,Tmax_mean_FLOR,Tmean_mean_FLOR,Tmax_mean_CREC,Tmean_mean_CREC,ET0_sum_CREC,Tmax_mean_ENVE,Tmean_mean_ENVE,KDD35_ANN,CDD30_ANN,Tmean_mean_ANN,NDRE_repro_lag1,CIre_repro_lag1,NDVI_repro_lag1,n_repro_imgs,NDVI_CREC,NDRE_CREC,n_crec_imgs
A-4,A,Sevillana-Ascolana,2018,7.7,6.47,ON,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.2380745,0.5034959999999999,0.31688099999999997,2.0,0.292953,0.21748,1.0
A-4,A,Sevillana-Ascolana,2019,10.81,7.7,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.225959,0.49011899999999997,0.29021949999999996,2.0,0.307143,0.24545585714285714,7.0
A-4,A,Sevillana-Ascolana,2020,9.47,10.81,ON,1.0015394737663663,147.0,-1051.0,16.321239945625745,21.793478260869566,17.03088756630435,27.361333333333334,21.10504912813333,314.97395890800004,25.654347826086955,19.354393115869566,0.0,2.400000000000002,17.773841312622952,0.2371128,0.4967144,0.3188902,5.0,0.3040080909090909,0.23774163636363638,11.0
A-4,A,Sevillana-Ascolana,2022,13.44,,ON,3.029690606961055,417.0,-1016.5,16.55968325945904,22.09347826086957,15.95058876847826,24.77076923076923,18.65750000015385,247.575818777,23.54318181818182,17.01148042977273,0.0,0.0,16.10811342610606,0.246967,0.528613,0.3371335,2.0,0.331664625,0.2555495,8.0
A-4,A,Sevillana-Ascolana,2023,5.25,13.44,OFF,4.024588875343309,489.0,-889.5,16.029180732487994,22.08888888888889,16.198379629444446,26.014,19.8327083336,202.452458434,26.450000000000003,20.21041666636364,0.0,3.8000000000000007,18.23116372696319,0.26593975,0.5954005,0.367994375,8.0,0.358502,0.2700349,10.0
A-4,A,Sevillana-Ascolana,2024,0.72,5.25,OFF,0.0,30.0,-1792.0,18.45498804715187,23.805,17.91661458325,26.838709677419352,20.563474462258064,254.83836898,24.32,18.070235509000003,0.0,3.400000000000002,18.24257023328829,0.2454225,0.5268200000000001,0.3333475,2.0,0.32949033333333333,0.2540546666666667,6.0
B-5,B,Sevillana-Ascolana,2016,1.56,,OFF,0.0,63.0,-1918.5,18.19909006735981,22.23478260869565,18.705227260869563,27.50133333333333,23.3880700296,365.002599737,25.286046511627905,20.28587449511628,0.0,1.1000000000000014,19.34503504438548,,,,,,,
B-5,B,Sevillana-Ascolana,2017,5.52,1.56,OFF,0.0,132.0,-1510.0,17.189485248307474,22.560869565217395,18.9762154176087,28.17432432432432,23.988619462702708,378.98877873900005,25.56521739130436,20.34323946978261,0.0,2.6999999999999997,19.08830740580822,0.24033,0.52384,0.311082,1.0,0.311168,0.24109,1.0
B-5,B,Sevillana-Ascolana,2018,7.0,5.52,OFF,0.0,85.0,-1594.0,17.45878732310993,21.121739130434783,17.471536242608693,26.984745762711867,21.955425824067795,268.089548941,24.778260869565216,19.919432407608696,0.0,0.0,18.64161043304985,0.263903,0.593719,0.3455335,2.0,0.34632,0.263663,1.0
B-5,B,Sevillana-Ascolana,2019,8.41,7.0,ON,0.0,100.0,-1300.5,16.77075980812661,22.74347826086956,18.86167824173913,27.5171875,22.45878673234375,281.780881435,24.51739130434782,19.79306246130435,0.0,1.3999999999999986,18.22257596856338,0.2556795,0.5688139999999999,0.326053,2.0,0.31886028571428576,0.25203385714285714,7.0
