img_index,date,agri_year,phenology,cloud_tile_pct,cloud_roi_pct,satellite,parcel_id,group,NDVI,EVI,NDRE,NDWI,SAVI,CIre,GNDVI,MTCI
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,A-2,A,0.285381,0.232273,0.212206,-0.394477,0.222564,0.426642,0.394477,1.637917
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,A-3,A,0.347443,0.281021,0.261859,-0.44351,0.267833,0.57944,0.44351,1.962176
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,A-4,A,0.314681,0.254453,0.236263,-0.421051,0.245023,0.494409,0.421051,1.780059
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,B-5,B,0.349539,0.279657,0.265362,-0.445197,0.266957,0.590896,0.445197,2.055285
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,B-6,B,0.348105,0.277788,0.261427,-0.444398,0.265434,0.583751,0.444398,1.963791
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,B-7,B,0.383079,0.297912,0.291345,-0.474713,0.286935,0.675821,0.474713,2.122642
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,B-8,B,0.34628,0.271383,0.263708,-0.450017,0.262392,0.571136,0.450017,1.962686
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,C-9,C,0.36471,0.286468,0.279653,-0.464096,0.276689,0.631656,0.464096,2.103675
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,C-10,C,0.342915,0.274733,0.257522,-0.445465,0.263774,0.555676,0.445465,2.082113
20171128T144731_20171128T144725_T19KCV,2017-11-28,2018,Floracion,0.09,0.0,Sentinel-2A,C-11,C,0.377574,0.297835,0.285322,-0.469546,0.284276,0.655665,0.469546,2.132873
